timestamp,party_name,cumulative_votes
2026/02/08 22:00,れいわ新選組,0
2026/02/08 22:00,中道改革連合,100
2026/02/08 22:00,日本維新の会,0
2026/02/08 22:00,参政党,0
2026/02/08 22:00,国民民主党,100
2026/02/08 22:00,日本保守党,0
2026/02/08 22:00,チームみらい,0
2026/02/08 22:00,社会民主党,0
2026/02/08 22:00,自由民主党,500
2026/02/08 22:00,日本共産党,0
2026/02/08 22:00,ゆうこく連合,0
2026/02/08 23:00,れいわ新選組,875
2026/02/08 23:00,中道改革連合,"6,250"
2026/02/08 23:00,日本維新の会,"1,632"
2026/02/08 23:00,参政党,"1,817"
2026/02/08 23:00,国民民主党,"3,248"
2026/02/08 23:00,日本保守党,628
2026/02/08 23:00,チームみらい,"2,097"
2026/02/08 23:00,社会民主党,400
2026/02/08 23:00,自由民主党,"10,565"
2026/02/08 23:00,日本共産党,"1,828"
2026/02/08 23:00,ゆうこく連合,288
2026/02/09 00:00,れいわ新選組,"8,146"
2026/02/09 00:00,中道改革連合,"48,421"
2026/02/09 00:00,日本維新の会,"19,634"
2026/02/09 00:00,参政党,"19,385"
2026/02/09 00:00,国民民主党,"24,761"
2026/02/09 00:00,日本保守党,"6,503"
2026/02/09 00:00,チームみらい,"22,053"
2026/02/09 00:00,社会民主党,"3,428"
2026/02/09 00:00,自由民主党,"91,541"
2026/02/09 00:00,日本共産党,"13,586"
2026/02/09 00:00,ゆうこく連合,"3,671"
2026/02/09 01:00,れいわ新選組,"55,418"
2026/02/09 01:00,中道改革連合,"359,676"
2026/02/09 01:00,日本維新の会,"127,895"
2026/02/09 01:00,参政党,"136,551"
2026/02/09 01:00,国民民主党,"199,421"
2026/02/09 01:00,日本保守党,"47,255"
2026/02/09 01:00,チームみらい,"172,104"
2026/02/09 01:00,社会民主党,"26,393"
2026/02/09 01:00,自由民主党,"670,518"
2026/02/09 01:00,日本共産党,"83,877"
2026/02/09 01:00,ゆうこく連合,"24,794"
2026/02/09 02:00,れいわ新選組,"92,751"
2026/02/09 02:00,中道改革連合,"616,318"
2026/02/09 02:00,日本維新の会,"235,948"
2026/02/09 02:00,参政党,"236,458"
2026/02/09 02:00,国民民主党,"364,127"
2026/02/09 02:00,日本保守党,"84,388"
2026/02/09 02:00,チームみらい,"324,234"
2026/02/09 02:00,社会民主党,"43,793"
2026/02/09 02:00,自由民主党,"1,148,251"
2026/02/09 02:00,日本共産党,"147,549"
2026/02/09 02:00,ゆうこく連合,"43,433"
2026/02/09 03:00,れいわ新選組,"111,595"
2026/02/09 03:00,中道改革連合,"745,202"
2026/02/09 03:00,日本維新の会,"288,480"
2026/02/09 03:00,参政党,"285,584"
2026/02/09 03:00,国民民主党,"450,410"
2026/02/09 03:00,日本保守党,"103,280"
2026/02/09 03:00,チームみらい,"401,747"
2026/02/09 03:00,社会民主党,"52,303"
2026/02/09 03:00,自由民主党,"1,390,072"
2026/02/09 03:00,日本共産党,"179,544"
2026/02/09 03:00,ゆうこく連合,"52,422"
2026/02/09 03:11,れいわ新選組,"115,875"
2026/02/09 03:11,中道改革連合,"773,316"
2026/02/09 03:11,日本維新の会,"301,571"
2026/02/09 03:11,参政党,"296,591"
2026/02/09 03:11,国民民主党,"473,528"
2026/02/09 03:11,日本保守党,"107,963"
2026/02/09 03:11,チームみらい,"425,686"
2026/02/09 03:11,社会民主党,"54,497"
2026/02/09 03:11,自由民主党,"1,449,114"
2026/02/09 03:11,日本共産党,"187,028"
2026/02/09 03:11,ゆうこく連合,"54,541"
